Month/Quarter,2019,2021,2022,2023,2024,2025*,Change (%) 22/21,Change (%) 23/22,Change (%) 24/23,Change (%) 25*/19,Change (%) 2025*/24
Q1,"1,877,853","70,901","159,546","1,291,539","1,582,677","1,838,208",125.0,709.5,22.5,-2.1,16.1
Jan,"647,206","20,567","44,910","402,943","540,023","611,894",118.4,797.2,34.0,-5.5,13.3
Feb,"597,483","20,580","50,411","434,503","448,551","652,091",145.0,761.9,3.2,9.1,45.4
Mar,"633,164","29,754","64,225","454,093","594,103","574,223",115.9,607.0,30.8,-9.3,-3.3
Q2,"1,460,621","31,659","347,216","1,288,393","1,583,820","1,526,176",996.7,271.1,22.9,4.5,-3.6
Apr,"537,656","11,938","81,939","430,129","533,932","565,243",586.4,424.9,24.1,5.1,5.9
May,"472,952","8,757","101,979","442,114","524,390","547,373",1064.5,333.5,18.6,15.7,4.4
Jun,"450,013","10,964","163,298","416,150","525,498","413,560",1389.4,154.8,26.3,-8.1,-21.3
Q3,"1,475,832","29,114","759,010","1,346,950","1,634,035","1,013,082",2507.0,77.5,21.3,-31.4,-38.0
Jul,"502,421","9,984","236,697","457,412","575,733","347,492",2270.8,93.2,25.9,-30.8,-39.6
Aug,"519,502","9,163","254,813","464,637","548,828","338,351",2680.9,82.3,18.1,-34.9,-38.4
Sep,"453,909","9,967","267,500","424,901","509,474","327,239",2583.9,58.8,19.9,-27.9,-35.8
Q4,"1,796,286","64,821","1,010,854","1,526,349","1,899,593","1,192,286",1459.5,51.0,24.5,-33.6,-37.2
Oct,"481,782","12,759","310,182","480,330","574,206","372,609",2331.1,54.9,19.5,-22.7,-35.1
Nov,"602,042","18,933","338,101","510,231","626,319","422,766",1685.8,50.9,22.8,-29.8,-32.5
Dec,"712,462","33,129","362,571","535,788","699,068","396,911",994.4,47.8,30.5,-44.3,-43.2
Total,"6,610,592","196,495","2,276,626","5,453,231","6,700,125","5,569,752",1058.6,139.5,22.9,-15.7,-16.9
