Country / Region,2024 Total,2025* Holiday,2025* Business,2025* Others,2025* Total,2025* Female,Share (%) 2025*,Change (%) 2025*/24
Grand Total,"6,700,125","3,893,767","1,551,791","124,194","5,569,752","2,232,247",100.0,-16.9
Asia and the Pacific,"5,729,871","3,066,470","1,474,383","41,988","4,582,841","1,772,663",82.3,-20.0
ASEAN (Southeast Asia),"4,235,631","2,220,533","547,555","4,972","2,773,060","1,248,322",49.8,-34.5
Brunei Darussalam,541,383,76,3,462,206,0.0,-14.6
Indonesia,"166,795","50,633","99,053",154,"149,840","48,221",2.7,-10.2
Lao PDR,"334,448","119,826","11,579",67,"131,472","76,622",2.4,-60.7
Malaysia,"94,260","56,985","37,930","1,353","96,268","24,328",1.7,2.1
Myanmar,"36,976","15,122","21,704",10,"36,836","20,316",0.7,-0.4
Philippines,"69,142","46,904","21,909",51,"68,864","41,496",1.2,-0.4
Singapore,"45,895","37,703","6,017",469,"44,189","13,948",0.8,-3.7
Thailand,"2,146,674","962,172","58,608","1,963","1,022,743","500,935",18.4,-52.4
Timor Leste,313,99,184,2,285,89,0.0,-8.9
Vietnam,"1,340,587","930,706","290,495",900,"1,222,101","522,161",21.9,-8.8
Northeast Asia,"1,239,865","686,525","853,996","13,344","1,553,865","442,394",27.9,25.3
China,"848,952","458,860","739,709","3,112","1,201,681","316,140",21.6,41.5
Hong Kong (China),171,100,5,3,108,49,0.0,-36.8
Japan,"112,718","76,463","28,375","1,151","105,989","38,732",1.9,-6.0
Korea (ROK),"192,305","114,255","32,438","5,905","152,598","57,488",2.7,-20.6
Macau (China),11,1,0,0,1,1,0.0,-90.9
Mongolia,"1,379",903,267,7,"1,177",573,0.0,-14.6
Taiwan (China),"84,329","35,943","53,202","3,166","92,311","29,411",1.7,9.5
Southern Asia,"130,420","69,352","63,734",29,"133,115","25,213",2.4,2.1
Afghanistan,501,212,34,0,246,77,0.0,-50.9
Bangladesh,"17,167","7,655","20,102",1,"27,758","1,337",0.5,61.7
Bhutan,246,111,190,1,302,96,0.0,22.8
India,"77,632","50,755","20,274",17,"71,046","19,766",1.3,-8.5
Iran,"1,400","1,102",131,0,"1,233",325,0.0,-11.9
Maldives,320,264,40,0,304,74,0.0,-5.0
Nepal,"6,404","2,141","7,529",6,"9,676","1,283",0.2,51.1
Pakistan,"22,065","5,003","12,856",4,"17,863","1,253",0.3,-19.0
Srilanka,"4,685","2,109","2,578",0,"4,687","1,002",0.1,0.0
Oceania,"123,077","89,535","8,312","23,643","121,490","56,589",2.2,-1.3
Australia,"104,489","77,310","7,270","18,995","103,575","48,168",1.9,-0.9
