Country / Region,2024 Total,2025* Holiday,2025* Business,2025* Others,2025* Total,2025* Female,Share (%) 2025*,Change (%) 2025*/24
Grand Total,"699,068","273,280","110,398","13,233","396,911","153,039",100.0,-43.2
Asia and the Pacific,"583,773","190,100","104,528","5,744","300,372","108,369",75.7,-48.5
ASEAN (Southeast Asia),"436,263","112,486","37,194",387,"150,067","64,252",37.8,-65.6
Brunei Darussalam,32,30,10,2,42,19,0.0,31.3
Indonesia,"13,662","3,630","7,120",18,"10,768","3,616",2.7,-21.2
Lao PDR,"27,500","1,143","1,022",6,"2,171","1,403",0.5,-92.1
Malaysia,"8,670","4,428","2,809",153,"7,390","2,074",1.9,-14.8
Myanmar,"3,877",991,"2,667",1,"3,659","2,101",0.9,-5.6
Philippines,"6,432","3,466","1,676",0,"5,142","3,183",1.3,-20.1
Singapore,"6,142","4,128",408,69,"4,605","1,848",1.2,-25.0
Thailand,"232,684","7,969","1,519",82,"9,570","4,865",2.4,-95.9
Timor Leste,52,12,23,0,35,9,0.0,-32.7
Vietnam,"137,212","86,689","19,940",56,"106,685","45,134",26.9,-22.2
Northeast Asia,"118,454","59,165","61,187","1,012","121,364","33,800",30.6,2.5
China,"79,177","43,099","53,480",150,"96,729","24,865",24.4,22.2
Hong Kong (China),26,36,0,0,36,20,0.0,38.5
Japan,"12,696","8,153","2,136",156,"10,445","4,160",2.6,-17.7
Korea (ROK),"18,619","4,582","1,982",537,"7,101","2,340",1.8,-61.9
Mongolia,195,80,16,2,98,63,0.0,-49.7
Taiwan (China),"7,738","3,214","3,573",167,"6,954","2,351",1.8,-10.1
Southern Asia,"13,066","8,871","5,522",2,"14,395","3,315",3.6,10.2
Afghanistan,15,5,2,0,7,1,0.0,-53.3
Bangladesh,"1,550",874,"1,851",0,"2,725",95,0.7,75.8
Bhutan,48,16,20,0,36,10,0.0,-25.0
India,"8,569","6,867","1,923",2,"8,792","2,833",2.2,2.6
Iran,157,76,9,0,85,23,0.0,-45.9
Maldives,35,26,2,0,28,6,0.0,-20.0
Nepal,563,240,"1,028",0,"1,268",128,0.3,125.2
Pakistan,"1,725",537,439,0,976,97,0.2,-43.4
Srilanka,404,230,248,0,478,122,0.1,18.3
Oceania,"15,881","9,533",549,"4,343","14,425","6,989",3.6,-9.2
Australia,"13,149","8,104",475,"3,245","11,824","5,657",3.0,-10.1
Fiji,45,25,8,1,34,19,0.0,-24.4
New Zealand,"2,687","1,404",66,"1,097","2,567","1,313",0.6,-4.5
Other Asia & the Pacific,109,45,76,0,121,13,0.0,11.0
Europe,"82,099","60,162","3,917","2,661","66,740","30,756",16.8,-18.7
Northern Europe,"16,129","13,141",917,160,"14,218","5,972",3.6,-11.8
Denmark,985,773,56,4,833,358,0.2,-15.4
Finland,530,432,25,15,472,184,0.1,-10.9
Iceland,58,62,2,0,64,30,0.0,10.3
Ireland,904,703,55,3,761,300,0.2,-15.8
Norway,718,543,28,29,600,239,0.2,-16.4
Sweden,"1,519",928,44,35,"1,007",436,0.3,-33.7
United Kingdom,"11,415","9,700",707,74,"10,481","4,425",2.6,-8.2
Western Europe,"33,594","23,448","1,476","2,448","27,372","12,519",6.9,-18.5
Austria,"1,144",719,23,31,773,356,0.2,-32.4
Belgium,"1,713","1,401",72,83,"1,556",751,0.4,-9.2
France,"14,851","10,339",810,"2,017","13,166","6,103",3.3,-11.3
Germany,"10,600","6,882",351,103,"7,336","3,271",1.8,-30.8
Luxembourg,71,70,1,1,72,34,0.0,1.4
Netherlands,"2,723","2,171",116,59,"2,346","1,058",0.6,-13.8
Switzerland,"2,492","1,865",103,154,"2,122",946,0.5,-14.8
Central / Eastern Europe,"19,329","12,012",741,17,"12,770","6,312",3.2,-33.9
Azerbaijan,65,47,9,0,56,17,0.0,-13.8
Bulgaria,484,309,8,0,317,154,0.1,-34.5
Czech Republic,865,755,26,1,782,343,0.2,-9.6
Estonia,210,228,6,1,235,112,0.1,11.9
Hungary,733,594,16,5,615,314,0.2,-16.1
Kazakhstan,"1,062",328,42,0,370,192,0.1,-65.2
Kyrgyzstan,199,145,23,0,168,83,0.0,-15.6
Latvia,176,140,6,0,146,59,0.0,-17.0
Lithuania,200,218,5,0,223,113,0.1,11.5
Poland,"3,367","3,352",142,4,"3,498","1,692",0.9,3.9
