Country / Region,Holiday %,Business %,Others %,Total %,Female %
Vietnam,76.15622604023726,23.77013029201351,0.07364366774922858,21.94174893244798,42.72650132844994
China,38.18484273280513,61.55618670845258,0.2589705587422952,21.57512578657003,26.308146671204753
Thailand,94.07759329567644,5.730471878076897,0.19193482624667194,18.362451326378626,48.97955791435385
United States of America,69.30765845708953,7.500809996566582,23.191531546343892,3.7127505856634193,46.222030939450946
Korea (ROK),74.87319624110408,21.257159333674096,3.869644425221825,2.739762919426215,37.67283974888269
Indonesia,33.791377469300585,66.10584623598506,0.10277629471436198,2.690245454375707,32.18166043780032
France,74.7432104022731,8.987452368191128,16.26933722953576,2.445369201357619,46.633284630803004
Lao PDR,91.14184008762322,8.80719849093343,0.05096142144334915,2.360464164293132,58.280090057198485
United Kingdom,92.5429247842946,6.94111262299337,0.5159625927120284,2.282704867290321,44.09985763837
Japan,72.14239213503288,26.7716461142194,1.085961750747719,1.9029393050175303,36.54341488267651
Australia,74.6415640839971,7.0190683079893805,18.339367608013514,1.859598057507767,46.50543084721217
Malaysia,59.19412473511447,39.40042381684464,1.405451448040886,1.728407297129208,25.271118128557774
Taiwan (China),38.936854762704336,57.633434801919606,3.4297104353760655,1.6573628412898815,31.860774988896228
Germany,92.68435773245105,5.9403779248243405,1.375264342724606,1.315947280956136,45.47377037997135
India,71.43963066182474,28.53644117895448,0.023928159220786532,1.2755684633714393,27.821411479886272
Philippines,68.1110594795539,31.81488150557621,0.07405901486988847,1.236392571877527,60.25789962825279
Russian Federation,94.0294316811733,5.863213701752358,0.10735461707433894,1.0870681495334082,49.37321419723521
Canada,76.44079243583971,8.935164340387212,14.624043223773075,0.7975220440694666,46.0063034669068
Singapore,85.32213899386724,13.616510896376926,1.0613501097558216,0.7933746421743733,31.5644164837403
Myanmar,41.052231512650664,58.9206211315018,0.02714735584754045,0.6613579922409472,55.15256813986318
Italy,95.28503595923694,4.306778107905478,0.4081859328575792,0.6465817508571298,47.47452308888457
Spain,97.03218456280263,2.8396468242665907,0.12816861293078893,0.6303691798126738,51.184847621760184
Bangladesh,27.577635276316737,72.41876215865697,0.0036025650262987248,0.4983704840000058,4.816629440161395
Netherlands,91.17526784984051,6.632861699517462,2.1918704506420217,0.4390500690156402,44.238161445980204
Poland,94.1548312946392,5.80822592562187,0.03694277973893769,0.437398289905906,49.32271570478614
Pakistan,28.00761350277109,71.96999384201982,0.02239265520909142,0.32071445909979474,7.014499244247887
New Zealand,68.20352472996021,5.3780557134735645,26.41841955656623,0.31581298413286624,47.072200113700966
Switzerland,85.38125303545411,8.153229723166586,6.4655172413793105,0.2957402771254447,45.43467702768334
Belgium,88.44958096782915,6.501757231684239,5.048661800486618,0.26564917073507044,45.843471208434714
Israel,97.99640735111234,1.927594307033301,0.07599834185435954,0.2598679438510009,48.708028188475886
Ireland,92.46245395296117,7.178615282894116,0.35893076414470576,0.19008027646473308,44.564088032492684
Turkiye,69.34832756632065,30.565167243367934,0.08650519031141869,0.18679467236602276,39.69627066512879
Nepal,22.126911947085574,77.81107895824721,0.06200909466721786,0.17372407245421342,13.259611409673418
Denmark,93.28025477707006,5.615711252653928,1.1040339702760085,0.16912781754017056,47.5583864118896
Brazil,87.02908917501192,12.899380066762042,0.07153075822603719,0.1505991649179353,51.4067715784454
Sweden,90.24628139478176,6.644720799804926,3.108997805413314,0.14725969845695103,40.24628139478176
Austria,92.63055148853098,3.7213274768179603,3.6481210346510493,0.14715197373240316,46.217667154709616
Mexico,93.86023073862883,6.113247579896566,0.02652168147460549,0.13539202463592634,52.71184193077841
Norway,91.16538519523594,5.382180009045681,3.452434795718378,0.1190896829876806,44.580129654756526
South Africa,75.67989996874023,24.19506095654892,0.12503907471084713,0.11487046460955533,50.35948733979369
Czech Republic,94.51219512195121,5.268918073796123,0.2188868042526579,0.11483455636803937,45.23139462163853
Portugal,97.07252162341983,2.8775781769793745,0.049900199600798396,0.10794017399697509,50.116433799068524
Ukraine,84.39295289161241,15.338950593642284,0.2680965147453083,0.09375641859817098,55.82152432018383
Hungary,95.48011639185256,3.7827352085354025,0.7371483996120272,0.09255349250738631,50.029097963142576
Kazakhstan,84.81215027977618,14.828137490007995,0.3597122302158274,0.08984242027293136,56.17505995203837
Srilanka,44.99679965863025,55.00320034136975,0.0,0.08415096399265175,21.37828034990399
Argentina,96.8828787531515,3.0025212010084803,0.11460004584001833,0.07833382886706625,53.19734127893652
Romania,95.47714894624674,4.475491356855317,0.047359696897939854,0.07582025196094906,53.42173810087616
Finland,89.89755264655663,7.768924302788845,2.333523050654525,0.06309078034354132,37.3363688104724
Colombia,91.71597633136095,8.254437869822485,0.02958579881656805,0.06068492816197202,56.3905325443787
Bulgaria,96.65071770334929,3.1698564593301435,0.17942583732057416,0.06003857981468475,56.369617224880386
Chile,94.34523809523809,5.555555555555555,0.0992063492063492,0.05429326117213118,51.98412698412699
Slovakia,95.02803738317756,4.635514018691589,0.3364485981308411,0.0480272730275962,47.32710280373832
Greece,96.02423324498297,3.8621734191594093,0.1135933358576297,0.047416832921824886,47.82279439606209
Malta,79.11474000859475,20.41254834550924,0.4727116458960034,0.041779239003819205,45.337344220025784
Uzbekistan,81.7531305903399,18.157423971377458,0.08944543828264759,0.040145414014843034,60.55456171735242
Lithuania,96.06879606879608,3.832923832923833,0.09828009828009827,0.036536635742489075,51.99017199017199
Kyrgyzstan,74.70760233918129,25.292397660818715,0.0,0.024561237196916486,53.94736842105263
Croatia,92.68471104608632,7.2421360643745425,0.0731528895391368,0.02454328307615851,46.30577907827359
Estonia,95.96412556053812,3.811659192825112,0.2242152466367713,0.024022613574177093,45.81464872944694
Iran,89.37550689375506,10.62449310624493,0.0,0.0221374308945892,26.35847526358475
Slovenia,93.33333333333333,6.341463414634147,0.3252032520325203,0.022083568532315263,47.5609756097561
Serbia,92.76315789473685,7.236842105263158,0.0,0.021832210841703545,45.14802631578947
Mongolia,76.72047578589634,22.68479184367035,0.5947323704333051,0.021132000132142326,48.68309260832625
Morocco,84.51063829787235,15.48936170212766,0.0,0.02109609189062637,31.829787234042556
Peru,91.69741697416974,7.841328413284134,0.46125461254612543,0.019462266901650198,56.54981549815498
Uruguay,99.06890130353817,0.931098696461825,0.0,0.0192827256940704,60.24208566108007
Latvia,93.42629482071713,6.573705179282868,0.0,0.01802593724101181,48.30677290836653
Turkmenistan,68.56256463288521,31.437435367114787,0.0,0.017361634772966553,37.02171664943123
Egypt,51.29265770423992,48.500517063081695,0.2068252326783868,0.017361634772966553,17.890382626680452
Uganda,92.39543726235742,7.604562737642586,0.0,0.014165801278046133,48.79594423320659
Costa Rica,97.85100286532952,2.148997134670487,0.0,0.012531976289069963,52.57879656160458
Iceland,95.56213017751479,4.289940828402367,0.14792899408284024,0.012136985632394404,40.0887573964497
Ecuador,92.10134128166915,7.898658718330849,0.0,0.012047215028604504,52.309985096870335
Kenya,83.5575485799701,16.442451420029897,0.0,0.012011306787088546,56.05381165919282
Luxembourg,91.65402124430956,7.132018209408194,1.2139605462822458,0.011831765579508746,42.943854324734446
Cameroon,67.73109243697479,32.26890756302521,0.0,0.010682701850998034,30.42016806722689
Tajikistan,54.653130287648054,45.346869712351946,0.0,0.010610885367966113,25.888324873096447
Tunisia,77.69911504424779,22.300884955752213,0.0,0.010144078228258637,50.26548672566372
Ghana,87.05673758865248,12.943262411347517,0.0,0.010126124107500658,20.921985815602838
Nigeria,40.7871198568873,59.0339892665474,0.17889087656529518,0.010036353503710758,18.067978533094813
Cuba,71.83098591549296,27.96780684104628,0.2012072434607646,0.008923198016716004,43.25955734406438
Brunei Darussalam,82.90043290043289,16.450216450216452,0.6493506493506493,0.00829480379018671,44.58874458874459
Saudi Arabia,78.27102803738318,21.72897196261682,0.0,0.007684363684415392,23.130841121495326
Azerbaijan,75.3731343283582,24.62686567164179,0.0,0.007217556544707915,31.592039800995025
Algeria,89.6103896103896,10.38961038961039,0.0,0.006912336491822257,33.506493506493506
Jordan,79.7872340425532,19.9468085106383,0.26595744680851063,0.006750749405000439,18.085106382978726
Cyprus,98.0225988700565,1.694915254237288,0.2824858757062147,0.006355758748324881,44.35028248587571
Tanzania,93.29268292682927,4.573170731707317,2.1341463414634148,0.005888951608617403,47.5609756097561
Fiji,70.15384615384616,29.53846153846154,0.3076923076923077,0.005835089246343464,43.38461538461538
Maldives,86.8421052631579,13.157894736842104,0.0,0.005458052710425886,24.342105263157894
Bhutan,36.75496688741722,62.913907284768214,0.33112582781456956,0.005422144468909927,31.788079470198678
Venezuela,80.27210884353741,19.727891156462583,0.0,0.005278511502846087,55.44217687074829
Timor Leste,34.73684210526316,64.56140350877193,0.7017543859649122,0.005116924416024268,31.2280701754386
United Arab Emirates,92.67399267399267,7.326007326007327,0.0,0.004901474966928509,28.205128205128204
Afghanistan,86.1788617886179,13.821138211382115,0.0,0.004416713706463052,31.300813008130078
Zimbabwe,51.63934426229508,48.36065573770492,0.0,0.004380805464947093,56.14754098360656
Syria,69.76744186046511,30.23255813953488,0.0,0.003860135962965676,20.0
Iraq,80.75117370892019,19.248826291079812,0.0,0.0038242277214497163,13.615023474178404
Sudan,95.07042253521126,4.929577464788732,0.0,0.002549485147633144,28.169014084507044
Kuwait,89.43661971830986,9.859154929577464,0.7042253521126761,0.002549485147633144,26.76056338028169
Oman,98.58156028368793,1.4184397163120568,0.0,0.0025315310268751645,11.347517730496454
Yemen,83.06451612903226,16.93548387096774,0.0,0.0022263109739895062,21.774193548387096
El Salvador,62.39316239316239,37.60683760683761,0.0,0.002100632128683647,51.28205128205128
Hong Kong (China),92.5925925925926,4.62962962962963,2.7777777777777777,0.001939045041861828,45.370370370370374
Liberia,70.83333333333334,29.166666666666668,0.0,0.0017235955927660692,20.833333333333336
Honduras,72.04301075268818,27.956989247311824,0.0,0.0016697332304921298,44.086021505376344
Bahrain,81.81818181818183,14.285714285714285,3.896103896103896,0.0013824672983644515,18.181818181818183
Palestine,64.40677966101694,35.59322033898305,0.0,0.0010592931247208133,15.254237288135593
Jamaica,90.9090909090909,9.090909090909092,0.0,0.0009874766416888938,58.18181818181818
Monaco,100.0,0.0,0.0,0.0007720271925931352,48.837209302325576
Qatar,90.625,9.375,0.0,0.0005745318642553564,21.875
Congo,67.74193548387096,32.25806451612903,0.0,0.0005565777434973766,22.58064516129032
Macau (China),100.0,0.0,0.0,1.7954120757979887e-05,100.0
